,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_656040,76.0,36.7,4.49,N,10.0,42.7,427.0,38.0,4.5,14.0,95.0,,,0.33,31.68,11.18,24.13,7.78,3.11,72.67,1.67
PI_597967,69.0,55.9,4.34,Y,3.0,,,44.5,7.7,13.0,78.0,,,0.0,31.97,16.59,9.67,11.08,4.2,65.33,1.63
PI_655992,64.0,49.5,2.88,N,18.0,28.3,509.4,19.0,3.7,12.0,96.0,,,0.33,17.63,8.09,17.87,5.62,2.84,60.33,1.53
PI_533989,73.0,47.2,6.53,N,10.0,32.6,326.0,34.0,5.0,11.0,92.0,,,0.33,26.19,9.04,21.57,6.3,1.49,59.0,1.0
PI_656043,73.0,36.2,3.58,N,7.0,47.9,335.3,42.6,6.8,14.0,198.0,75.8,8.5,0.0,23.43,11.5,14.7,7.15,2.79,60.67,0.93
PI_533987,61.0,44.4,7.75,N,17.0,31.2,530.4,34.5,5.1,12.0,100.0,53.3,8.6,0.33,20.73,9.71,21.8,5.51,1.27,57.0,1.23
PI_651496,81.0,29.7,4.74,N,21.0,11.4,239.4,,,19.0,305.0,,,0.67,20.72,8.48,25.75,4.96,1.36,57.5,1.7000000000000002
PI_629040,71.0,48.2,3.88,N,13.0,22.7,295.09999999999997,45.0,5.1,10.0,72.0,70.9,6.8,1.33,24.36,9.97,26.67,6.75,1.83,75.67,1.37
PI_533794,65.0,46.9,5.92,N,12.0,27.4,328.79999999999995,49.0,7.7,12.0,87.0,,,0.0,23.2,11.46,21.97,7.69,2.12,63.33,1.67
PI_534096,73.0,45.3,,Y,3.0,,,55.7,5.7,12.0,62.0,,,3.0,26.52,12.22,12.9,9.44,4.12,40.0,1.3
PI_533766,60.0,48.3,4.38,N,17.0,28.8,489.6,34.5,3.7,11.0,85.0,,,1.67,20.97,7.77,31.33,4.71,1.47,76.33,2.17
PI_656079,69.0,32.0,5.31,N,15.0,21.5,322.5,41.8,3.3,13.0,108.0,,,0.67,24.4,7.45,33.33,5.27,2.05,83.0,2.6
PI_595739,67.0,36.8,5.84,N,10.0,40.1,401.0,37.0,4.3,10.0,85.0,,,1.67,32.42,15.14,16.97,10.94,4.4,60.67,1.9
PI_533789,75.0,46.8,3.33,N,,,,,,,,,,1.0,30.11,8.44,28.63,5.8,1.65,52.33,1.6
PI_533912,50.0,69.5,4.9,N,11.0,30.8,338.8,26.0,4.0,9.0,97.0,45.5,5.5,1.0,17.09,8.6,18.93,6.62,1.38,51.67,1.43
PI_656086,69.0,36.7,2.62,N,7.0,70.1,490.69999999999993,29.0,2.7,15.0,115.0,65.0,8.5,1.0,28.57,9.69,21.87,6.83,2.87,69.33,1.73
